id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1075.604,"WhiteMountain",R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,R,"muyang_",172.1,80,0.5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1107.647,"WhiteMountain",R,2,112,-1.206,0.298,0.097,1.615,-36.324,0,0,-336.993,-369.372,-30.434,0,0,0,0,5,R,"muyang_",172.1,80,0.5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232,-36.992,0,"HalF_HearteD",-0.047,-16.515,0,"하루（Haru）",-19.469,-43.497,0,"장덕춘_",-13.601,-64.092,0,"TaeGeuk_",20.215,-48.826,0,"Pugeuk",8.528,-66.322,0,"Apple_Sherbet",38.542,-86.167,0,"Oort__Cloud",-4.438,-104.21,0,"卯月満開",-39.547,-86.903,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1123.617,"WhiteMountain",R,32,137,1.298,0.598,0.172,1.761,-36.261,0,0,159.33,-65.962,4.776,0,0,0,0,5,R,"muyang_",172.1,80,0.5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204,-36.732,0,"HalF_HearteD",-0.003,-16.525,0,"하루（Haru）",-18.981,-43.299,0,"장덕춘_",-13.544,-64.055,0,"TaeGeuk_",19.62,-50.035,0,"Pugeuk",8.593,-66.278,0,"Apple_Sherbet",38.471,-85.863,0,"Oort__Cloud",-4.465,-104.324,0,"卯月満開",-40.269,-86.48,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1218.63,"WhiteMountain",R,5,129,0.013,-0.201,0.131,1.65,-36.34,0,0,-108.314,0,13.56,0.167,-16.967,0,0,5,R,"muyang_",172.1,80,0.5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,-37.373,0,"HalF_HearteD",-0.1,-16.67,0,"하루（Haru）",-20.402,-45.538,0,"장덕춘_",-13.536,-64.525,0,"TaeGeuk_",20.633,-49.794,0,"Pugeuk",8.673,-65.994,0,"Apple_Sherbet",38.919,-83.42,0,"Oort__Cloud",-2.522,-102.884,0,"卯月満開",-40.853,-86.232,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1250.71,"WhiteMountain",R,2,120,0.2,0.187,0.179,1.602,-36.314,0,0,-220.685,-400,-7.393,0,0,0,1,1,R,"-라후이-",190,84,0.35,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.253,-37.066,0,"HalF_HearteD",0.008,-16.042,0,"하루（Haru）",-19.88,-46.642,0,"장덕춘_",-11.669,-64.486,0,"TaeGeuk_",20.614,-50.428,0,"Pugeuk",8.3,-66.373,0,"Apple_Sherbet",40.953,-88.879,0,"Oort__Cloud",-4.57,-113.467,0,"卯月満開",-41.841,-89.443,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,4,1267.493,"WhiteMountain",R,34,126,4.524,0.2,0.498,1.726,-36.667,3,0,85.596,-21.167,3.629,1.183,-20.729,0,1,1,R,"-라후이-",190,84,0.35,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145,-36.861,0,"HalF_HearteD",0.312,-16.25,0,"하루（Haru）",-19.822,-46.686,0,"장덕춘_",-11.529,-64.508,0,"TaeGeuk_",20.335,-50.744,0,"Pugeuk",8.198,-66.494,0,"Apple_Sherbet",40.847,-89.48,0,"Oort__Cloud",-4.589,-113.405,0,"卯月満開",-42.141,-90.281,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
7,1,1,0,0,0,0,1,1,0,0,1,255,255,5,1292.761,"WhiteMountain",R,11,112,-0.661,-0.198,0.035,1.724,-36.537,0,0,0,227.385,-2.91,0,0,0,2,0,R,"Dοpi",190,80,0.3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,-37.422,0,"HalF_HearteD",0.083,-16.275,0,"하루（Haru）",-18.426,-40.82,0,"장덕춘_",-12.047,-62.344,0,"TaeGeuk_",22.313,-48.305,0,"Pugeuk",7.096,-65.53,0,"Apple_Sherbet",41.546,-88.024,0,"Oort__Cloud",-5.071,-110.777,0,"卯月満開",-40.405,-90.115,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,1,1,0,0,1,255,255,6,1307.338,"WhiteMountain",R,10,115,-0.085,-1.064,0.089,1.624,-36.315,4,0,0,400,2.383,0,0,1,2,0,R,"Dοpi",190,80,0.3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.096,-37.32,0,"HalF_HearteD",-0.484,-17.357,0,"하루（Haru）",-18.626,-41.928,0,"장덕춘_",-13.41,-63.134,0,"TaeGeuk_",21.358,-50.086,0,"Pugeuk",5.176,-65.288,0,"Apple_Sherbet",41.471,-88.276,0,"Oort__Cloud",-4.791,-111.407,0,"卯月満開",-41.381,-91.212,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,2,1,1,0,0,1,255,255,7,1434.492,"WhiteMountain",R,32,138,-0.636,-0.727,-0.029,1.522,-36.3,0,0,233.469,-83.356,4.435,0,0,0,2,0,R,"Dοpi",190,80,0.3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217,-37.755,0,"HalF_HearteD",-0.531,-17.298,0,"하루（Haru）",-18.046,-42.184,0,"장덕춘_",-12.968,-64.182,0,"TaeGeuk_",20.876,-49.802,0,"Pugeuk",6.301,-65.304,0,"Apple_Sherbet",41.384,-87.515,0,"Oort__Cloud",-6.244,-115.146,0,"卯月満開",-40.541,-93.212,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,2,1,0,0,1,255,255,8,1457.055,"WhiteMountain",R,5,129,-1.889,-0.527,-0.067,1.596,-36.339,2,0,-54.745,0,31.223,0,0,1,3,7,R,"ByeolBam",174.5,89.728,0.499,3,42,1457.92,129,15,77,67,45,68,139,111,-15.761,5.663,0.92,-0.055,-0.1,0.07,0,-0.681,-36.678,0,"HalF_HearteD",-0.111,-16.355,0,"하루（Haru）",-17.724,-42.622,0,"장덕춘_",-14.106,-63.818,0,"TaeGeuk_",20.469,-48.004,0,"Pugeuk",8.184,-65.862,0,"Apple_Sherbet",39.612,-89.327,0,"Oort__Cloud",-5.783,-112.204,0,"卯月満開",-40.592,-89.404,0,1456.614,-0.576,-22.67,1460.214,7,"Oort__Cloud",-8.592,-94.685,1,0,0,0,0,0,0,2
11,1,1,0,0,0,0,2,1,1,0,7,1,255,9,1492.961,"WhiteMountain",R,15,112,-0.421,-1.079,0.057,1.355,-36.351,2,0,0,-384.69,-10.051,0,0,1,4,2,R,"siesta_aves",190,95,0.345,3,42,1494.133,167,14,101,58,37,112,145,129,110.881,-69.987,0.31,0.014,-0.101,0,0,-0.191,-36.912,0,"HalF_HearteD",-0.14,-16.569,0,"하루（Haru）",-19.288,-47.049,0,"장덕춘_",-13.269,-64.039,0,"TaeGeuk_",18.94,-46.541,0,"Pugeuk",4.037,-64.459,0,"Apple_Sherbet",37.895,-86.973,0,"Oort__Cloud",-4.935,-114.958,0,"卯月満開",-41.704,-87.05,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
12,1,1,0,0,0,1,2,1,1,0,7,1,255,10,1512.294,"WhiteMountain",R,18,119,-3.831,-0.194,-0.182,1.58,-36.203,1,0,-231.154,-226.793,-3.339,0,0,0,4,2,R,"siesta_aves",190,95,0.345,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.417,-37.29,0,"HalF_HearteD",-0.144,-16.311,0,"하루（Haru）",-19.319,-43.627,0,"장덕춘_",-13.576,-64.084,0,"TaeGeuk_",19.709,-47.557,0,"Pugeuk",3.762,-64.946,0,"Apple_Sherbet",39.712,-86.246,0,"Oort__Cloud",-3.881,-100.779,0,"卯月満開",-41.96,-88.07,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
13,1,1,0,0,1,1,2,1,1,0,7,1,255,11,1576.765,"WhiteMountain",R,33,129,-0.569,-0.338,-0.003,1.601,-36.341,2,0,148.804,-59.278,7.349,0,0,1,4,2,R,"siesta_aves",190,95,0.345,3,42,1577.909,162,20,106,68,35,117,150,67,26.137,7.554,1,-0.026,-0.023,0.058,0,-0.79,-36.927,0,"HalF_HearteD",-0.161,-16.392,0,"하루（Haru）",-18.501,-46.587,0,"장덕춘_",-13.487,-64.124,0,"TaeGeuk_",19.617,-48.682,0,"Pugeuk",5.119,-66.098,0,"Apple_Sherbet",40.248,-87.159,0,"Oort__Cloud",-4.306,-102.516,0,"卯月満開",-42.073,-87.888,0,0,0,0,1580.181,5,"Pugeuk",-3.792,-61.118,0,0,0,0,0,0,0,1
14,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1752.21,"Dοpi",R,13,98,0.579,-1.477,0.23,1.827,-37.01,1,0,-349.518,309.981,-27.535,-0.219,-17.142,0,0,6,R,"Apple_Sherbet",176.9,86.926,0.299,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139,-37.743,0,"-라후이-",-0.236,-16.967,0,"siesta_aves",-20.303,-42.809,0,"즉석카레",-14.346,-64.043,0,"Chunsik03",22.367,-45.168,0,"muyang_",10.068,-64.547,0,"Roscosmos",42.276,-92.391,0,"ByeolBam",-2.477,-111.503,0,"_앰프_",-43.628,-91.272,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,0,0,0,0,255,255,255,1,1771.26,"Dοpi",R,27,128,-2.005,-1.17,-0.053,1.826,-36.814,1,0,45.549,-104.189,0.381,0,0,0,0,6,R,"Apple_Sherbet",176.9,86.926,0.299,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.639,-37.169,0,"-라후이-",-0.142,-16.813,0,"siesta_aves",-21.932,-46.34,0,"즉석카레",-14.972,-63.565,0,"Chunsik03",22.573,-44.869,0,"muyang_",10.75,-64.784,0,"Roscosmos",42.758,-92.16,0,"ByeolBam",-1.389,-112.251,0,"_앰프_",-45.768,-91.87,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,2,0,0,0,0,0,255,255,255,2,1785.31,"Dοpi",R,34,123,0.038,-1.617,0.222,1.765,-36.874,1,0,75.786,-75.559,-4.209,0,0,0,0,6,R,"Apple_Sherbet",176.9,86.926,0.299,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257,-37.251,0,"-라후이-",0.15,-16.943,0,"siesta_aves",-21.044,-44.38,0,"즉석카레",-14.962,-63.666,0,"Chunsik03",22.41,-45.086,0,"muyang_",10.97,-63.162,0,"Roscosmos",42.787,-92.18,0,"ByeolBam",4.786,-113.084,0,"_앰프_",-45.416,-92.035,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,3,0,0,0,0,0,255,255,255,3,1803.029,"Dοpi",R,28,119,-1.193,-0.124,0.041,1.91,-36.899,0,0,66.372,-79.161,-1.419,0,0,0,0,6,R,"Apple_Sherbet",176.9,86.926,0.299,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.251,-37.007,0,"-라후이-",-0.071,-16.975,0,"siesta_aves",-21.82,-45.802,0,"즉석카레",-15.278,-63.523,0,"Chunsik03",22.351,-44.573,0,"muyang_",11.213,-64.107,0,"Roscosmos",42.717,-93.031,0,"ByeolBam",-0.733,-111.035,0,"_앰프_",-45.865,-92.527,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
